x_real, x_imag, y_real, y_imag
0.000000000000000000e+00,0.000000000000000000e+00,4.530623286607672640e+01,0.000000000000000000e+00
6.499510915353312601e-01,0.000000000000000000e+00,4.573748643541480163e+01,-4.660993355822308004e+00
1.243009996182522725e+00,0.000000000000000000e+00,4.708251240404192828e+01,-9.601387176877798524e+00
1.730982630250177845e+00,0.000000000000000000e+00,4.951115036245256817e+01,-1.515889730392761692e+01
2.081541212360923598e+00,0.000000000000000000e+00,5.337005680718096556e+01,-2.181543454117282366e+01
2.282615996607469278e+00,0.000000000000000000e+00,5.932487526222392660e+01,-3.036296471969922806e+01
2.343277223533162701e+00,0.000000000000000000e+00,6.871571117190555356e+01,-4.229117074818866229e+01
2.291020385188563324e+00,0.000000000000000000e+00,8.458031479070857017e+01,-6.088297690285646979e+01
2.166025798428826477e+00,0.000000000000000000e+00,1.154263296984840110e+02,-9.523557431497508219e+01
2.013509314002074113e+00,0.000000000000000000e+00,1.972660064712516714e+02,-1.837277518781344838e+02
1.875612751022315727e+00,0.000000000000000000e+00,9.665513694549047159e+02,-1.004135810118324343e+03
1.784339171273508162e+00,0.000000000000000000e+00,-2.900698890261895144e+02,3.329477707864655258e+02
1.756810588599362788e+00,0.000000000000000000e+00,-1.192592868907198635e+02,1.500753182542631805e+02
1.793659251210431904e+00,0.000000000000000000e+00,-7.252621354295402512e+01,9.942358441771689570e+01
1.880748558860537711e+00,0.000000000000000000e+00,-5.084367000390727753e+01,7.552879311363120962e+01
1.993774228019842942e+00,0.000000000000000000e+00,-3.840410289635265428e+01,6.154865548441908629e+01
2.104744086694599670e+00,0.000000000000000000e+00,-3.037974154837599627e+01,5.233461706018169224e+01
2.188981230609697182e+00,0.000000000000000000e+00,-2.480108220616281045e+01,4.578307135108898507e+01
2.231207270883505789e+00,0.000000000000000000e+00,-2.071496187273427125e+01,4.087371439258521377e+01
2.229456069258413997e+00,0.000000000000000000e+00,-1.760427010539600445e+01,3.705145196506968119e+01
2.196005658736543520e+00,0.000000000000000000e+00,-1.516442558277650399e+01,3.398825866506027182e+01
2.155112215176740786e+00,0.000000000000000000e+00,-1.320451451812695609e+01,3.147781842929988372e+01
2.137969702674948902e+00,0.000000000000000000e+00,-1.159888243909709082e+01,2.938391896149643756e+01
2.175878434967373654e+00,0.000000000000000000e+00,-1.026149730354067380e+01,2.761312028465803792e+01
2.292976771886949372e+00,0.000000000000000000e+00,-9.131496476398558215e+00,2.609935883832674719e+01
2.499999999999999556e+00,0.000000000000000000e+00,-8.164610567841734223e+00,2.479483927447503078e+01
2.790356546216659961e+00,0.000000000000000000e+00,-7.327850673068056153e+00,2.366443816224899876e+01
3.139385783170804523e+00,0.000000000000000000e+00,-6.596092187606113377e+00,2.268217699406784504e+01
3.507063914532327686e+00,0.000000000000000000e+00,-5.949802511295644081e+00,2.182898507464673798e+01
3.843768066180770049e+00,0.000000000000000000e+00,-5.373478207004898088e+00,2.109132758936359053e+01
4.098118691326851248e+00,0.000000000000000000e+00,-4.854528239417814639e+00,2.046048484696815706e+01
4.225509526114956671e+00,0.000000000000000000e+00,-4.382432578484389829e+00,1.993242147828711808e+01
4.195781772340883009e+00,0.000000000000000000e+00,-3.948051250527707001e+00,1.950834143151726963e+01
3.998635335541735003e+00,0.000000000000000000e+00,-3.542968214949422379e+00,1.919626506819593459e+01
3.645770572246177732e+00,0.000000000000000000e+00,-3.158717303366251894e+00,1.901445367781143148e+01
3.169344732604788994e+00,0.000000000000000000e+00,-2.785603555856142055e+00,1.899869073440215672e+01
2.616997664229894660e+00,0.000000000000000000e+00,-2.410426535183134433e+00,1.921872966001899385e+01
2.044325718339039977e+00,0.000000000000000000e+00,-2.011057583657909653e+00,1.981999421466610301e+01
1.506144121470755604e+00,0.000000000000000000e+00,-1.540329587114068755e+00,2.115013843273252192e+01
1.048090065904153656e+00,0.000000000000000000e+00,-8.609599395897484797e-01,2.427341302409317336e+01
7.000422464373698972e-01,0.000000000000000000e+00,7.257045696567016035e-01,3.470040880605925793e+01
4.724828284504951625e-01,0.000000000000000000e+00,-6.572685653971763031e+01,-4.933544802163536360e+02
3.563716934967878780e-01,0.000000000000000000e+00,-3.978801874717612375e+00,-6.508966660826689399e+00
3.264458837311862704e-01,0.000000000000000000e+00,-2.570889763608479761e+00,2.768479420343724406e+00
3.472237666766204711e-01,0.000000000000000000e+00,-1.961831705537858239e+00,5.781992005604006835e+00
3.805029640171628258e-01,0.000000000000000000e+00,-1.560612484853863613e+00,7.196941784846877965e+00
3.928853613568935588e-01,0.000000000000000000e+00,-1.244103471710634956e+00,7.975416750256481890e+00
3.618884183928007814e-01,0.000000000000000000e+00,-9.697286710850050451e-01,8.442011953447050132e+00
2.795026479790928553e-01,0.000000000000000000e+00,-7.182144826958037909e-01,8.736729082574875349e+00
1.525713172056223366e-01,0.000000000000000000e+00,-4.790334268375082694e-01,8.929895647212184429e+00
3.061616997868382648e-16,0.000000000000000000e+00,-2.454772565697317388e-01,9.060819777303139588e+00
-1.525713172056217815e-01,0.000000000000000000e+00,-1.263870939989897302e-02,9.153359140417663298e+00
-2.795026479790924667e-01,0.000000000000000000e+00,2.235518431492715674e-01,9.223049013292582643e+00
-3.618884183928006149e-01,0.000000000000000000e+00,4.668609777705781116e-01,9.280706022194877391e+00
-3.928853613568938363e-01,0.000000000000000000e+00,7.211056833527886845e-01,9.334411231674119236e+00
-3.805029640171627148e-01,0.000000000000000000e+00,9.904402638319993457e-01,9.390696518263194292e+00
-3.472237666766200270e-01,0.000000000000000000e+00,1.279642037952934963e+00,9.455327263745639144e+00
-3.264458837311846051e-01,0.000000000000000000e+00,1.594446310736046257e+00,9.533889552438704840e+00
-3.563716934967874339e-01,0.000000000000000000e+00,1.941985010604217354e+00,9.632309794083777632e+00
-4.724828284504943299e-01,0.000000000000000000e+00,2.331403841881264594e+00,9.757406217360589551e+00
-7.000422464373690090e-01,0.000000000000000000e+00,2.774776114842042229e+00,9.917577311161650755e+00
-1.048090065904151658e+00,0.000000000000000000e+00,3.288515118378853685e+00,1.012377337539809652e+01
-1.506144121470753827e+00,0.000000000000000000e+00,3.895650682078180438e+00,1.039099439913493050e+01
-2.044325718339037756e+00,0.000000000000000000e+00,4.629670553018405244e+00,1.074076599830790357e+01
-2.616997664229894660e+00,0.000000000000000000e+00,5.541355627291866703e+00,1.120550493380445189e+01
-3.169344732604788550e+00,0.000000000000000000e+00,6.711748483021739986e+00,1.183676963968639129e+01
-3.645770572246180841e+00,0.000000000000000000e+00,8.278815642242111750e+00,1.272219584062835906e+01
-3.998635335541735891e+00,0.000000000000000000e+00,1.049828717268657030e+01,1.402411799252088187e+01
